iter	RMSE
0	1.99957179
1	1.983374322
2	1.968034946
3	1.953567458
4	1.939853873
5	1.926706991
6	1.914235323
7	1.902353689
8	1.891155133
9	1.880466668
10	1.870364472
11	1.860664463
12	1.851461827
13	1.842748474
14	1.834632323
15	1.826775269
16	1.81935385
17	1.812290267
18	1.805535904
19	1.799135671
20	1.79297655
21	1.787282672
22	1.781718022
23	1.776537759
24	1.77147473
25	1.766784461
26	1.762255604
27	1.757937917
28	1.753839826
29	1.749903633
30	1.746214592
31	1.742612624
32	1.73923938
33	1.735842986
34	1.732814415
35	1.729998888
36	1.727290139
37	1.724563074
38	1.72205199
39	1.719703419
40	1.717419769
41	1.715209648
42	1.71306973
43	1.711071802
44	1.709178944
45	1.707285035
46	1.705555915
47	1.703826378
48	1.702263158
49	1.700525104
50	1.698915071
51	1.697524022
52	1.696125979
53	1.694749828
54	1.693456744
55	1.692294326
56	1.691042381
57	1.689925297
58	1.68883879
59	1.687768363
60	1.686660495
61	1.685632032
62	1.684701764
63	1.683783547
64	1.682943156
65	1.682023012
66	1.681208651
67	1.680351477
68	1.679521384
69	1.678790439
70	1.678111058
71	1.677276558
72	1.676527453
73	1.675879492
74	1.675197182
75	1.674591855
76	1.673995253
77	1.673454551
78	1.67296416
79	1.672422249
80	1.671837624
81	1.671361754
82	1.670896073
83	1.670338974
84	1.669883337
85	1.66932746
86	1.668880226
87	1.668464279
88	1.66803818
89	1.667686528
90	1.667206349
91	1.666726521
92	1.666254563
93	1.665935942
94	1.665529716
95	1.665045787
96	1.664686757
97	1.664257442
98	1.663955946
99	1.66362681
100	1.66334643
101	1.663042225
102	1.662631278
103	1.662300607
104	1.661971632
105	1.661730833
106	1.661396848
107	1.661145874
108	1.660844793
109	1.660436341
110	1.660068373
111	1.659888084
112	1.659638647
113	1.659437031
114	1.659089048
115	1.65876032
116	1.658599709
117	1.658322012
118	1.658113857
119	1.657827342
120	1.657631887
121	1.657449664
122	1.657287257
123	1.657040276
124	1.65682312
125	1.65653648
126	1.656387345
127	1.656198205
128	1.655993517
129	1.655924037
130	1.65574713
131	1.65559124
132	1.655404761
133	1.655282069
134	1.655197025
135	1.654901155
136	1.654786884
137	1.654687652
138	1.654571103
139	1.654427496
140	1.654289878
141	1.654098038
142	1.653846843
143	1.653555652
144	1.653470224
145	1.65328833
146	1.653171682
147	1.6530884
148	1.652882834
149	1.652571877
150	1.652326655
151	1.652200139
152	1.652014263
153	1.651859153
154	1.651724178
155	1.651675949
156	1.651538199
157	1.651407139
158	1.651348849
159	1.651158935
160	1.650948644
161	1.650920304
162	1.650681688
163	1.650439241
164	1.650295126
165	1.650242467
166	1.650025747
167	1.649931062
168	1.649784141
169	1.649711539
170	1.649537468
171	1.64936402
172	1.64904633
173	1.648968268
174	1.648680855
175	1.648489597
176	1.648435152
177	1.648281532
178	1.648233103
179	1.648117431
180	1.647915195
181	1.647741478
182	1.647564878
183	1.647476373
184	1.647379961
185	1.647290409
186	1.647091777
187	1.646873012
188	1.646693106
189	1.646482887
190	1.64638187
191	1.646282378
192	1.645979172
193	1.645814841
194	1.645680359
195	1.645526531
196	1.64524371
197	1.645040726
198	1.644982605
199	1.644885305
200	1.644673816
201	1.644620135
202	1.644518162
203	1.644354725
204	1.644282675
205	1.644016319
206	1.643886788
207	1.643789126
208	1.643700566
209	1.64359616
210	1.643514323
211	1.643314541
212	1.64317312
213	1.642925504
214	1.642763146
215	1.642683002
216	1.642636637
217	1.642433875
218	1.642303377
219	1.642191152
220	1.6420423
221	1.641992448
222	1.641959196
223	1.641833666
224	1.641639925
225	1.641451019
226	1.641336158
227	1.641221487
228	1.641070713
229	1.641031095
230	1.640794413
231	1.640651832
232	1.640453636
233	1.640259484
234	1.640099294
235	1.640082227
236	1.63997253
237	1.639719617
238	1.639608555
239	1.639573518
240	1.639488602
241	1.639408347
242	1.639250754
243	1.639091805
244	1.638855191
245	1.638681407
246	1.638554632
247	1.638440164
248	1.638303735
249	1.638185723
250	1.638092092
251	1.637952952
252	1.637728842
253	1.637632402
254	1.637482341
255	1.637392198
256	1.637260403
257	1.637134612
258	1.637042859
259	1.636951747
260	1.636829959
261	1.636680122
262	1.636645718
263	1.636525399
264	1.636428888
