iter	Passed	Remaining
0	826	825591
1	1640	818543
2	2468	820214
3	3293	820139
4	4123	820606
5	4992	827046
6	5784	820590
7	6590	817209
8	7345	808849
9	8202	812052
10	9048	813523
11	9900	815158
12	10750	816205
13	11654	820779
14	12509	821467
15	13448	827087
16	14350	829804
17	15191	828799
18	15988	825519
19	16832	824803
20	17581	819624
21	18381	817155
22	19178	814674
23	19964	811893
24	20711	807736
25	21457	803827
26	22351	805473
27	23205	805574
28	24007	803852
29	24738	799862
30	25646	801650
31	26524	802380
32	27367	801940
33	28236	802255
34	28996	799463
35	29827	798711
36	30594	796279
37	31422	795488
38	32181	792996
39	33068	793634
40	33834	791406
41	34667	790752
42	35470	789430
43	36280	788267
44	37096	787265
45	37890	785819
46	38681	784338
47	39514	783701
48	40242	781027
49	41231	783398
50	42074	782908
51	43077	785333
52	43838	783294
53	44726	783537
54	45491	781625
55	46254	779710
56	47109	779372
57	47931	778466
58	48798	778292
59	49586	776848
60	50396	775769
61	51310	776276
62	52247	777078
63	53106	776679
64	54020	777058
65	54880	776641
66	55937	778947
67	56696	777076
68	57493	775751
69	58209	773349
70	59046	772597
71	59829	771134
72	60717	771033
73	61529	769950
74	62364	769161
75	63094	767091
76	63917	766181
77	64646	764155
78	65489	763494
79	66194	761234
80	67047	760704
81	67756	758540
82	68466	756432
83	69276	755440
84	70214	755836
85	71059	755213
86	71786	753347
87	72493	751299
88	73279	750087
89	73993	748155
90	74775	746935
91	75473	744889
92	76285	743987
93	77107	743183
94	77862	741739
95	78822	742248
96	79517	740252
97	80256	738688
98	80966	736879
99	81774	735966
100	82451	733897
101	83156	732101
102	83851	730243
103	84722	729920
104	85438	728264
105	86227	727238
106	87064	726618
107	87803	725194
108	88477	723238
109	89389	723244
110	90189	722330
111	90906	720757
112	91787	720494
113	92597	719660
114	93358	718451
115	94263	718349
116	95069	717487
117	95866	716560
118	96696	715881
119	97576	715562
120	98339	714384
121	99148	713547
122	99964	712757
123	100658	711102
124	101358	709508
125	102128	708417
126	102946	707653
127	103753	706817
128	104528	705766
129	105495	706010
130	106175	704324
131	107021	703747
132	107958	703759
133	108860	703528
134	109559	701994
135	110339	700982
136	111216	700585
137	111913	699054
138	112627	697641
139	113314	696076
140	114112	695195
141	115012	694935
142	115838	694220
143	116728	693883
144	117518	692954
145	118570	693558
146	119371	692681
147	120134	691585
148	121023	691215
149	121762	689987
150	122630	689493
151	123329	688046
152	124216	687658
153	124910	686194
154	125630	684890
155	126301	683325
156	127223	683114
157	127905	681623
158	128703	680755
159	129586	680329
160	130299	679014
161	130931	677286
162	131660	676074
163	132425	675045
164	133153	673838
165	134059	673530
166	134997	673372
167	136020	673626
168	136885	673090
169	137696	672283
170	138436	671135
171	139422	671172
172	140119	669819
173	140879	668775
174	141584	667468
175	142407	666727
176	143205	665866
177	144176	665803
178	144974	664939
179	145713	663806
180	146578	663248
181	147389	662442
182	148202	661648
183	149050	661007
184	150063	661088
185	150826	660070
186	151732	659670
187	152478	658579
188	153382	658164
189	154252	657602
190	154956	656331
191	155648	655020
192	156643	654979
193	157398	653935
194	158226	653192
195	158988	652175
196	159813	651424
197	160636	650657
198	161368	649529
199	162079	648316
200	162956	647772
201	163896	647471
202	164705	646653
203	165756	646774
204	166687	646421
205	167451	645419
206	168137	644120
207	169021	643580
208	169879	642939
209	170668	642037
210	171538	641439
211	172253	640262
212	173064	639445
213	173809	638385
214	174663	637724
215	175434	636761
216	176382	636440
217	177067	635168
218	177860	634289
219	178641	633365
220	179414	632415
221	180184	631458
222	180923	630391
223	181723	629541
224	182613	629000
225	183438	628236
226	184249	627420
227	185033	626516
228	185926	625980
229	186709	625071
230	187593	624500
231	188335	623454
232	189177	622742
233	189967	621857
234	190645	620611
235	191454	619793
236	192217	618827
237	193075	618165
238	193885	617352
239	194677	616480
240	195363	615273
241	196126	614314
242	196847	613224
243	197741	612675
244	198416	611448
245	199321	610929
246	200214	610371
247	201006	609503
248	201921	609008
249	202742	608227
250	203569	607464
251	204231	606211
252	205032	605372
253	205763	604328
254	206555	603465
255	207259	602348
256	208120	601687
257	208979	601019
258	209836	600341
259	210707	599707
260	211455	598718
261	212217	597773
262	212977	596823
263	213734	595865
264	214707	595508
265	215601	594929
266	216335	593909
267	217126	593047
268	217967	592320
269	218697	591293
270	219505	590479
271	220507	590182
272	221279	589267
273	222009	588243
274	222851	587516
275	223633	586633
276	224351	585582
277	225127	584683
278	225833	583604
279	226597	582678
280	227368	581772
281	228101	580769
282	228861	579835
283	229454	578484
284	230197	577512
285	231127	577010
286	231903	576123
287	232950	575904
288	233773	575130
289	234463	574032
290	235208	573067
291	235954	572108
292	236806	571406
293	237476	570266
294	238272	569431
295	239012	568462
296	239853	567733
297	240869	567416
298	241572	566362
299	242426	565662
300	243228	564840
301	243977	563895
302	244764	563039
303	245532	562139
304	246254	561136
305	246949	560075
306	247673	559081
307	248585	558509
308	249510	557967
309	250301	557122
310	251024	556128
311	251835	555328
312	252794	554854
313	253568	553973
314	254442	553312
315	255276	552560
316	256041	551661
317	256791	550728
318	257476	549660
319	258197	548670
320	259052	547964
321	259758	546945
322	260502	546006
323	261302	545186
324	262075	544310
325	262984	543715
326	263821	542971
327	264599	542106
328	265314	541112
329	266009	540080
330	266821	539285
331	267775	538776
332	268759	538326
333	269528	537443
334	270344	536654
335	271105	535756
336	271853	534833
337	272596	533902
338	273458	533204
339	274258	532384
340	275058	531563
